method,filter_strategy,quantile,threshold,target_normal_fpr,precision,recall,f1,auroc,auprc
source_only,,0.8,0.30511053752980505,0.9841269841269841,0.48333333333333334,0.9914529914529915,0.649859943977591,0.3142043142043142,0.366095440846069
source_only,,0.85,0.5989484398416386,0.9603174603174603,0.4669603524229075,0.905982905982906,0.616279069767442,0.3142043142043142,0.366095440846069
source_only,,0.9,1.2158220253411838,0.8293650793650794,0.4441489361702128,0.7136752136752137,0.5475409836065573,0.3142043142043142,0.366095440846069
source_only,,0.95,2.2677502079254666,0.5992063492063492,0.3463203463203463,0.3418803418803419,0.34408602150537637,0.3142043142043142,0.366095440846069
source_only,,0.975,2.5282275048423006,0.5436507936507936,0.29015544041450775,0.23931623931623933,0.26229508196721313,0.3142043142043142,0.366095440846069
source_only,,0.99,4.999385855725669,0.19444444444444445,0.057692307692307696,0.01282051282051282,0.02097902097902098,0.3142043142043142,0.366095440846069
source_plus_raw_synthetic,no_filter,0.8,0.25807212428685733,0.6666666666666666,0.3800738007380074,0.44017094017094016,0.407920792079208,0.3128985212318546,0.37458919527109213
source_plus_raw_synthetic,no_filter,0.85,0.5238823405847345,0.623015873015873,0.3022222222222222,0.2905982905982906,0.29629629629629634,0.3128985212318546,0.37458919527109213
source_plus_raw_synthetic,no_filter,0.9,1.0358723639531686,0.503968253968254,0.2742857142857143,0.20512820512820512,0.23471882640586797,0.3128985212318546,0.37458919527109213
source_plus_raw_synthetic,no_filter,0.95,2.31912697398267,0.3055555555555556,0.18947368421052632,0.07692307692307693,0.10942249240121582,0.3128985212318546,0.37458919527109213
source_plus_raw_synthetic,no_filter,0.975,2.8928185105237874,0.0992063492063492,0.375,0.0641025641025641,0.1094890510948905,0.3128985212318546,0.37458919527109213
source_plus_raw_synthetic,no_filter,0.99,3.5072282336872393,0.06746031746031746,0.2916666666666667,0.029914529914529916,0.054263565891472874,0.3128985212318546,0.37458919527109213
source_plus_tof_synthetic,iqr_1.5,0.8,0.28137470515385593,0.5634920634920635,0.3744493392070485,0.36324786324786323,0.368763557483731,0.3660120743454077,0.40728357546579186
source_plus_tof_synthetic,iqr_1.5,0.85,0.5678570815013979,0.48412698412698413,0.34759358288770054,0.2777777777777778,0.3087885985748219,0.3660120743454077,0.40728357546579186
source_plus_tof_synthetic,iqr_1.5,0.9,1.2383705310430633,0.25396825396825395,0.3786407766990291,0.16666666666666666,0.2314540059347181,0.3660120743454077,0.40728357546579186
source_plus_tof_synthetic,iqr_1.5,0.95,2.1058222316418282,0.14285714285714285,0.42857142857142855,0.11538461538461539,0.18181818181818182,0.3660120743454077,0.40728357546579186
source_plus_tof_synthetic,iqr_1.5,0.975,3.2873123606215198,0.10714285714285714,0.3076923076923077,0.05128205128205128,0.08791208791208792,0.3660120743454077,0.40728357546579186
source_plus_tof_synthetic,iqr_1.5,0.99,4.420916038090308,0.07142857142857142,0.21739130434782608,0.021367521367521368,0.038910505836575876,0.3660120743454077,0.40728357546579186
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.8,0.26093770334589295,0.6547619047619048,0.3702290076335878,0.41452991452991456,0.39112903225806456,0.35639668973002303,0.40382825157949165
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.85,0.6452872382029627,0.5595238095238095,0.3532110091743119,0.32905982905982906,0.34070796460176994,0.35639668973002303,0.40382825157949165
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.9,1.3707381666033682,0.26587301587301587,0.39090909090909093,0.18376068376068377,0.25000000000000006,0.35639668973002303,0.40382825157949165
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.95,2.2512388256127673,0.1388888888888889,0.4067796610169492,0.10256410256410256,0.16382252559726962,0.35639668973002303,0.40382825157949165
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.975,2.821152218206912,0.10317460317460317,0.35,0.05982905982905983,0.10218978102189781,0.35639668973002303,0.40382825157949165
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.99,3.844779942883396,0.04365079365079365,0.3888888888888889,0.029914529914529916,0.05555555555555556,0.35639668973002303,0.40382825157949165
oracle_target,,0.8,0.1547692260983551,0.3611111111111111,0.5645933014354066,0.5042735042735043,0.5327313769751693,0.6510819427486094,0.5825481901913431
oracle_target,,0.85,0.5451510206211849,0.26587301587301587,0.5759493670886076,0.3888888888888889,0.4642857142857143,0.6510819427486094,0.5825481901913431
oracle_target,,0.9,0.9577372976873688,0.17063492063492064,0.5943396226415094,0.2692307692307692,0.3705882352941176,0.6510819427486094,0.5825481901913431
oracle_target,,0.95,2.1332056427735497,0.08333333333333333,0.631578947368421,0.15384615384615385,0.24742268041237114,0.6510819427486094,0.5825481901913431
oracle_target,,0.975,3.299773041258419,0.031746031746031744,0.6363636363636364,0.05982905982905983,0.109375,0.6510819427486094,0.5825481901913431
oracle_target,,0.99,4.212925523960358,0.015873015873015872,0.42857142857142855,0.01282051282051282,0.024896265560165973,0.6510819427486094,0.5825481901913431
