method,filter_strategy,anomaly_type,anomaly_count,low_support,precision,recall,f1,auroc,auprc,mean_score_normal,mean_score_anomaly,score_margin
source_only,,SD_light_flickering,37,False,0.1793478260869565,0.8918918918918919,0.2986425339366516,0.5901973401973402,0.1558684144170993,3.0046156813471034,3.2749562035097255,0.27034052216262205
source_only,,SD_camera_flickering,0,True,,,,,,3.0046156813471034,,
source_only,,SD_tv_flickering,6,False,0.03821656050955414,1.0,0.07361963190184048,0.5343915343915344,0.0300363496731337,3.0046156813471034,2.8467214607971543,-0.15789422054994917
source_only,,MD_camera_off_while_lock,0,True,,,,,,3.0046156813471034,,
source_only,,MD_window_open_while_lock,0,True,,,,,,3.0046156813471034,,
source_only,,DM_window_open_midnight,188,False,0.20105820105820105,0.20212765957446807,0.2015915119363395,0.2489868287740628,0.2989603829784735,3.0046156813471034,1.594072881264477,-1.4105428000826263
source_only,,DM_watervalve_open_midnight,3,True,0.01948051948051948,1.0,0.03821656050955414,0.5568783068783069,0.017079811722668866,3.0046156813471034,3.0169688927748446,0.012353211427741151
source_only,,DD_microwave_long_time,0,True,,,,,,3.0046156813471034,,
source_plus_raw_synthetic,no_filter,SD_light_flickering,37,False,0.04938271604938271,0.10810810810810811,0.06779661016949153,0.42760617760617764,0.11286844332060082,1.3499311716503348,0.7678097389838512,-0.5821214326664836
source_plus_raw_synthetic,no_filter,SD_camera_flickering,0,True,,,,,,1.3499311716503348,,
source_plus_raw_synthetic,no_filter,SD_tv_flickering,6,False,0.0,0.0,0.0,0.4444444444444444,0.02612283449492752,1.3499311716503348,0.7448902292101974,-0.6050409424401374
source_plus_raw_synthetic,no_filter,MD_camera_off_while_lock,0,True,,,,,,1.3499311716503348,,
source_plus_raw_synthetic,no_filter,MD_window_open_while_lock,0,True,,,,,,1.3499311716503348,,
source_plus_raw_synthetic,no_filter,DM_window_open_midnight,188,False,0.15384615384615385,0.07446808510638298,0.10035842293906809,0.2835612968591692,0.3192175785922799,1.3499311716503348,0.35415604698880926,-0.9957751246615256
source_plus_raw_synthetic,no_filter,DM_watervalve_open_midnight,3,True,0.0,0.0,0.0,0.4735449735449736,0.014555598132651,1.3499311716503348,0.9301445119291465,-0.41978665972118834
source_plus_raw_synthetic,no_filter,DD_microwave_long_time,0,True,,,,,,1.3499311716503348,,
source_plus_tof_synthetic,iqr_1.5,SD_light_flickering,37,False,0.12195121951219512,0.13513513513513514,0.1282051282051282,0.5524453024453024,0.13726232050692566,1.0027742859003028,0.8779171620639706,-0.12485712383633218
source_plus_tof_synthetic,iqr_1.5,SD_camera_flickering,0,True,,,,,,1.0027742859003028,,
source_plus_tof_synthetic,iqr_1.5,SD_tv_flickering,6,False,0.0,0.0,0.0,0.656084656084656,0.041044967254910886,1.0027742859003028,0.697272287626881,-0.30550199827342184
source_plus_tof_synthetic,iqr_1.5,MD_camera_off_while_lock,0,True,,,,,,1.0027742859003028,,
source_plus_tof_synthetic,iqr_1.5,MD_window_open_while_lock,0,True,,,,,,1.0027742859003028,,
source_plus_tof_synthetic,iqr_1.5,DM_window_open_midnight,188,False,0.35714285714285715,0.10638297872340426,0.16393442622950818,0.31212006079027355,0.33788152881163447,1.0027742859003028,0.35304753179175946,-0.6497267541085434
source_plus_tof_synthetic,iqr_1.5,DM_watervalve_open_midnight,3,True,0.05263157894736842,0.6666666666666666,0.09756097560975609,0.8637566137566137,0.05317693059628543,1.0027742859003028,2.2959844341471634,1.2932101482468605
source_plus_tof_synthetic,iqr_1.5,DD_microwave_long_time,0,True,,,,,,1.0027742859003028,,
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,SD_light_flickering,37,False,0.125,0.13513513513513514,0.12987012987012989,0.5808665808665809,0.1520293563172996,1.0329782332810824,1.2100444484283492,0.17706621514726684
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,SD_camera_flickering,0,True,,,,,,1.0329782332810824,,
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,SD_tv_flickering,6,False,0.07894736842105263,0.5,0.13636363636363635,0.8346560846560847,0.08084478505990134,1.0329782332810824,2.045319271848529,1.0123410385674467
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,MD_camera_off_while_lock,0,True,,,,,,1.0329782332810824,,
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,MD_window_open_while_lock,0,True,,,,,,1.0329782332810824,,
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,DM_window_open_midnight,188,False,0.3,0.0797872340425532,0.12605042016806722,0.28923927727119214,0.32459865447656083,1.0329782332810824,0.274149359877604,-0.7588288734034784
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,DM_watervalve_open_midnight,3,True,0.027777777777777776,0.3333333333333333,0.05128205128205128,0.8399470899470899,0.04590571351453206,1.0329782332810824,2.0692084615285826,1.0362302282475002
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,DD_microwave_long_time,0,True,,,,,,1.0329782332810824,,
oracle_target,,SD_light_flickering,37,False,0.5227272727272727,0.6216216216216216,0.5679012345679012,0.9031531531531531,0.4651199284276284,0.33342651104289345,2.266968775249153,1.9335422642062596
oracle_target,,SD_camera_flickering,0,True,,,,,,0.33342651104289345,,
oracle_target,,SD_tv_flickering,6,False,0.0,0.0,0.0,0.875,0.10165414863872088,0.33342651104289345,1.4453014231554917,1.1118749121125981
oracle_target,,MD_camera_off_while_lock,0,True,,,,,,0.33342651104289345,,
oracle_target,,MD_window_open_while_lock,0,True,,,,,,0.33342651104289345,,
