method,filter_strategy,quantile,threshold,target_normal_fpr,precision,recall,f1,auroc,auprc
source_only,,0.8,0.4385337043040852,0.926,0.4702517162471396,0.8544698544698545,0.6066420664206642,0.2787027027027027,0.3587331983946084
source_only,,0.85,0.7940030948796285,0.89,0.4430538172715895,0.735966735966736,0.553125,0.2787027027027027,0.3587331983946084
source_only,,0.9,0.9467562694046945,0.874,0.4411764705882353,0.7172557172557172,0.5463182897862232,0.2787027027027027,0.3587331983946084
source_only,,0.95,2.22298796179771,0.682,0.3788706739526412,0.43243243243243246,0.40388349514563104,0.2787027027027027,0.3587331983946084
source_only,,0.975,3.5263684656713954,0.504,0.2246153846153846,0.15176715176715178,0.18114143920595535,0.2787027027027027,0.3587331983946084
source_only,,0.99,3.954877316111763,0.448,0.1450381679389313,0.079002079002079,0.10228802153432033,0.2787027027027027,0.3587331983946084
source_plus_raw_synthetic,no_filter,0.8,0.7222923870180867,0.534,0.37176470588235294,0.3284823284823285,0.3487858719646799,0.33158004158004156,0.3784964221204378
source_plus_raw_synthetic,no_filter,0.85,0.9101297641931694,0.486,0.38010204081632654,0.3097713097713098,0.3413516609392898,0.33158004158004156,0.3784964221204378
source_plus_raw_synthetic,no_filter,0.9,1.163996671063603,0.45,0.3732590529247911,0.2785862785862786,0.3190476190476191,0.33158004158004156,0.3784964221204378
source_plus_raw_synthetic,no_filter,0.95,1.784159006081966,0.4,0.3288590604026846,0.20374220374220375,0.251604621309371,0.33158004158004156,0.3784964221204378
source_plus_raw_synthetic,no_filter,0.975,2.44921931006004,0.358,0.23829787234042554,0.11642411642411643,0.1564245810055866,0.33158004158004156,0.3784964221204378
source_plus_raw_synthetic,no_filter,0.99,4.083387670832594,0.188,0.0,0.0,0.0,0.33158004158004156,0.3784964221204378
source_plus_tof_synthetic,iqr_1.5,0.8,0.6804728731308307,0.53,0.3660287081339713,0.3180873180873181,0.34037819799777536,0.32812058212058215,0.37725177880054606
source_plus_tof_synthetic,iqr_1.5,0.85,0.8553941674182202,0.48,0.3733681462140992,0.2972972972972973,0.3310185185185185,0.32812058212058215,0.37725177880054606
source_plus_tof_synthetic,iqr_1.5,0.9,1.4425033871769333,0.412,0.3333333333333333,0.21413721413721415,0.2607594936708861,0.32812058212058215,0.37725177880054606
source_plus_tof_synthetic,iqr_1.5,0.95,1.9204507496592076,0.368,0.30038022813688214,0.16424116424116425,0.21236559139784947,0.32812058212058215,0.37725177880054606
source_plus_tof_synthetic,iqr_1.5,0.975,2.3319695365645017,0.348,0.24017467248908297,0.11434511434511435,0.15492957746478875,0.32812058212058215,0.37725177880054606
source_plus_tof_synthetic,iqr_1.5,0.99,2.7811466330258043,0.312,0.10344827586206896,0.037422037422037424,0.05496183206106871,0.32812058212058215,0.37725177880054606
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.8,0.8343990931784804,0.576,0.4061855670103093,0.4095634095634096,0.4078674948240166,0.33402910602910607,0.3790029457885835
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.85,1.0699506970823605,0.55,0.3915929203539823,0.367983367983368,0.3794212218649518,0.33402910602910607,0.3790029457885835
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.9,1.351283838437567,0.522,0.3710843373493976,0.3201663201663202,0.34375,0.33402910602910607,0.3790029457885835
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.95,1.7382142549261634,0.466,0.3436619718309859,0.25363825363825365,0.291866028708134,0.33402910602910607,0.3790029457885835
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.975,2.1013987685275715,0.426,0.3259493670886076,0.21413721413721415,0.2584692597239649,0.33402910602910607,0.3790029457885835
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,0.99,2.8112366778490605,0.386,0.2548262548262548,0.13721413721413722,0.1783783783783784,0.33402910602910607,0.3790029457885835
oracle_target,,0.8,-0.022306695392550147,0.178,0.43670886075949367,0.14345114345114346,0.215962441314554,0.4216299376299376,0.4385696741212563
oracle_target,,0.85,0.2700780551288324,0.126,0.4375,0.10187110187110188,0.1652613827993255,0.4216299376299376,0.4385696741212563
oracle_target,,0.9,0.7389701797086436,0.098,0.40963855421686746,0.07068607068607069,0.12056737588652483,0.4216299376299376,0.4385696741212563
oracle_target,,0.95,2.181370124197203,0.038,0.3448275862068966,0.02079002079002079,0.0392156862745098,0.4216299376299376,0.4385696741212563
oracle_target,,0.975,2.963781931123411,0.024,0.29411764705882354,0.010395010395010396,0.020080321285140562,0.4216299376299376,0.4385696741212563
oracle_target,,0.99,4.378776590797819,0.008,0.0,0.0,0.0,0.4216299376299376,0.4385696741212563
