method,filter_strategy,anomaly_type,anomaly_count,low_support,precision,recall,f1,auroc,auprc,mean_score_normal,mean_score_anomaly,score_margin
source_only,,SD_light_flickering,315,False,0.2775423728813559,0.4158730158730159,0.33290978398983484,0.2776253968253968,0.27235227331819056,3.479039640693629,1.9535185351926805,-1.5255211055009485
source_only,,SD_camera_flickering,0,True,,,,,,3.479039640693629,,
source_only,,SD_tv_flickering,161,False,0.17433414043583534,0.4472049689440994,0.2508710801393728,0.27152795031055904,0.16402534675996794,3.479039640693629,1.9097207984661833,-1.5693188422274458
source_only,,MD_camera_off_while_lock,0,True,,,,,,3.479039640693629,,
source_only,,MD_window_open_while_lock,0,True,,,,,,3.479039640693629,,
source_only,,DM_window_open_midnight,5,False,0.014450867052023121,1.0,0.02849002849002849,0.5776,0.013208059674432848,3.479039640693629,4.112454213221232,0.6334145725276032
source_only,,DM_watervalve_open_midnight,0,True,,,,,,3.479039640693629,,
source_only,,DD_microwave_long_time,0,True,,,,,,3.479039640693629,,
source_plus_raw_synthetic,no_filter,SD_light_flickering,315,False,0.22178988326848248,0.18095238095238095,0.19930069930069927,0.3105523809523809,0.28246031506107827,1.7197042839477559,0.4780071301423194,-1.2416971538054364
source_plus_raw_synthetic,no_filter,SD_camera_flickering,0,True,,,,,,1.7197042839477559,,
source_plus_raw_synthetic,no_filter,SD_tv_flickering,161,False,0.16666666666666666,0.2484472049689441,0.19950124688279303,0.366472049689441,0.18367968731229767,1.7197042839477559,0.6950351334799225,-1.0246691504678334
source_plus_raw_synthetic,no_filter,MD_camera_off_while_lock,0,True,,,,,,1.7197042839477559,,
source_plus_raw_synthetic,no_filter,MD_window_open_while_lock,0,True,,,,,,1.7197042839477559,,
source_plus_raw_synthetic,no_filter,DM_window_open_midnight,5,False,0.004975124378109453,0.2,0.009708737864077669,0.5327999999999999,0.012069128021737085,1.7197042839477559,1.273697580029823,-0.44600670391793296
source_plus_raw_synthetic,no_filter,DM_watervalve_open_midnight,0,True,,,,,,1.7197042839477559,,
source_plus_raw_synthetic,no_filter,DD_microwave_long_time,0,True,,,,,,1.7197042839477559,,
source_plus_tof_synthetic,iqr_1.5,SD_light_flickering,315,False,0.19298245614035087,0.13968253968253969,0.16206261510128914,0.31249523809523805,0.28288586468740823,1.5231501167051502,0.3676653169122664,-1.1554847997928839
source_plus_tof_synthetic,iqr_1.5,SD_camera_flickering,0,True,,,,,,1.5231501167051502,,
source_plus_tof_synthetic,iqr_1.5,SD_tv_flickering,161,False,0.1598173515981735,0.21739130434782608,0.18421052631578946,0.3528695652173913,0.18049220080799563,1.5231501167051502,0.5947462267001256,-0.9284038900050247
source_plus_tof_synthetic,iqr_1.5,MD_camera_off_while_lock,0,True,,,,,,1.5231501167051502,,
source_plus_tof_synthetic,iqr_1.5,MD_window_open_while_lock,0,True,,,,,,1.5231501167051502,,
source_plus_tof_synthetic,iqr_1.5,DM_window_open_midnight,5,False,0.0,0.0,0.0,0.5156,0.011668362885437508,1.5231501167051502,1.054430460614579,-0.4687196560905713
source_plus_tof_synthetic,iqr_1.5,DM_watervalve_open_midnight,0,True,,,,,,1.5231501167051502,,
source_plus_tof_synthetic,iqr_1.5,DD_microwave_long_time,0,True,,,,,,1.5231501167051502,,
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,SD_light_flickering,315,False,0.2508038585209003,0.24761904761904763,0.24920127795527156,0.32,0.2850422872376375,2.2133430226650352,0.818300319587973,-1.3950427030770622
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,SD_camera_flickering,0,True,,,,,,2.2133430226650352,,
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,SD_tv_flickering,161,False,0.15579710144927536,0.2670807453416149,0.19679633867276888,0.3580993788819876,0.181204276767267,2.2133430226650352,0.9986652076496125,-1.2146778150154227
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,MD_camera_off_while_lock,0,True,,,,,,2.2133430226650352,,
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,MD_window_open_while_lock,0,True,,,,,,2.2133430226650352,,
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,DM_window_open_midnight,5,False,0.004273504273504274,0.2,0.008368200836820083,0.44279999999999997,0.010129322626600655,2.2133430226650352,1.2346950207354719,-0.9786480019295634
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,DM_watervalve_open_midnight,0,True,,,,,,2.2133430226650352,,
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,DD_microwave_long_time,0,True,,,,,,2.2133430226650352,,
oracle_target,,SD_light_flickering,315,False,0.17391304347826086,0.012698412698412698,0.023668639053254437,0.38359365079365076,0.31715536179457304,-0.04043127044333978,-0.2271725249825563,-0.18674125453921653
oracle_target,,SD_camera_flickering,0,True,,,,,,-0.04043127044333978,,
oracle_target,,SD_tv_flickering,161,False,0.17391304347826086,0.024844720496894408,0.043478260869565216,0.4792298136645963,0.23233585686354594,-0.04043127044333978,-0.10832219165503734,-0.06789092121169757
oracle_target,,MD_camera_off_while_lock,0,True,,,,,,-0.04043127044333978,,
oracle_target,,MD_window_open_while_lock,0,True,,,,,,-0.04043127044333978,,
oracle_target,,DM_window_open_midnight,5,False,0.09523809523809523,0.4,0.15384615384615385,0.9632000000000001,0.13180124223602485,-0.04043127044333978,2.341868423677556,2.3822996941208956
oracle_target,,DM_watervalve_open_midnight,0,True,,,,,,-0.04043127044333978,,
oracle_target,,DD_microwave_long_time,0,True,,,,,,-0.04043127044333978,,
