method,filter_strategy,normal_count,anomaly_count,target_normal_fpr,precision,recall,f1,auroc,auprc,kept_count,rejected_count,adaptation_gain
source_only,,500,12,0.548,0.035211267605633804,0.8333333333333334,0.06756756756756757,0.5908333333333334,0.028677628962290563,0,0,
source_plus_raw_synthetic,no_filter,500,12,0.192,0.0,0.0,0.0,0.5283333333333333,0.025694996541100974,500,0,0.4072063492063492
source_plus_tof_synthetic,iqr_1.5,500,12,0.108,0.05263157894736842,0.25,0.08695652173913043,0.6358333333333334,0.04053954198888212,490,10,0.4912063492063492
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,500,12,0.106,0.07017543859649122,0.3333333333333333,0.11594202898550725,0.6809999999999999,0.05086971168752699,441,59,0.4932063492063492
oracle_target,,500,12,0.136,0.08108108108108109,0.5,0.13953488372093023,0.8008333333333333,0.13762584372594366,0,0,0.4632063492063492
