category,dataset,transition,method,precision,recall,f1,fpr,fnr,auroc,auprc,threshold,delta_f1_vs_smartguard,relative_f1_improvement_pct,adaptation_gain_f1,runtime_seconds,source_file,notes
ablation,toy,winter->spring,Full CausalGenGuard + CausalTOF + causal-aware NWRL,0.0000,0.0000,0.0000,0.5000,1.0000,0.0000,0.4167,0.8048,-0.6667,-100.0000,,,outputs/results/context_shift_toy_smoke.csv,Causal-TOF enabled; causal-aware NWRL fine-tune enabled after causal centrality estimation; Causal-TOF filtered synthetic sequences from 4 to 1; causal-aware NWRL fine-tune applied after causal centrality estimation
ablation,toy,winter->spring,SmartGuard + Causal,1.0000,0.5000,0.6667,0.0000,0.5000,0.7500,0.8333,0.4496,0.0000,0.0000,,,outputs/results/context_shift_toy_smoke.csv,source normal plus behavior causal graph deviation; SmartGen augmentation disabled by experiment config
ablation,toy,winter->spring,SmartGuard + SmartGen,1.0000,0.5000,0.6667,0.0000,0.5000,1.0000,1.0000,1.3722,0.0000,0.0000,,,outputs/results/context_shift_toy_smoke.csv,synthetic target normal augmentation without causal branch
ablation,toy,winter->spring,SmartGuard + SmartGen + Causal,1.0000,0.5000,0.6667,0.0000,0.5000,0.7500,0.8333,0.4497,0.0000,0.0000,,,outputs/results/context_shift_toy_smoke.csv,"SmartGen augmentation and causal branch, no Causal-TOF"
ablation,toy,winter->spring,SmartGuard only,1.0000,0.5000,0.6667,0.0000,0.5000,1.0000,1.0000,1.3787,0.0000,0.0000,,,outputs/results/context_shift_toy_smoke.csv,reconstruction score only; SmartGen augmentation disabled by experiment config
